`职务,地区,公司名字,薪资,经验,公司类型,公司福利
软件工程师（高级JAVA）,福州·闽侯县·福州师范大学（旗山校区）,东西乐活科技,15-23K·13薪,5-10年本科,互联网,定期体检，餐补，员工旅游，带薪年假，加班补助，全勤奖，零食下午茶，年终奖，五险一金，节日福利
会所主管,福州·鼓楼区·黎明,达康健康,5-7K,1-3年学历不限,酒店,
销售经理/代表-福州,福州·晋安区·象园,埃蒙迪,8-13K·13薪,1-3年大专,医疗设备/器械,免费班车，五险一金，员工旅游，节日福利，年终奖，零食下午茶，带薪年假
主播,福州·鼓楼区·津泰路,好未来,15-25K·13薪,经验不限大专,互联网,补充医疗保险，定期体检，年终奖，商业保险，五险一金，全勤奖，节日福利，带薪年假，购房福利，餐补，不定期培训
硬笔书法老师,福州·晋安区·福新路,希语,3-6K,1-3年大专,培训机构,全勤奖，包吃，零食下午茶，交通补助，员工旅游，节日福利，年终奖，加班补助，通讯补贴，餐补，住房补贴
双休高薪财税顾问,福州·晋安区·象园,财云科技,6-10K,经验不限学历不限,财务/审计/税务,员工旅游，五险一金，带薪年假，节日福利，全勤奖，零食下午茶，年终奖
塔斯汀招聘服务员,福州·闽侯县·甘蔗镇,塔斯汀,3-5K,经验不限学历不限,餐饮,年终奖，团建聚餐，节日福利，员工旅游，社医保，员工优惠，零食下午茶，带薪年假，店铺投资，定期体检，生日福利
销售专员,福州·鼓楼区·古田路,福州360推广,4-9K,1年以内大专,互联网,五险，节日福利，年终奖，零食下午茶，员工旅游，带薪年假
高级客户经理,福州·台江区·斗池,永坤金行,8-12K,1-3年中专/中技,珠宝/首饰,节日福利，员工旅游，年终奖，带薪年假，股票期权，五险一金
朴朴招聘店员/营业员,福州,朴朴,5-9K,经验不限初中及以下,互联网,年终奖，股票期权，团建经费，带薪年假，节日福利，定期体检
朴朴招聘理货员,福州·鼓楼区·金牛山公园,朴朴,5-9K,经验不限学历不限,互联网,年终奖，定期体检，节日福利，股票期权，团建经费，带薪年假
研发助理，NPI导入,福州·闽侯县·新西客站,太微信息,5-8K,1-3年大专,通信/网络设备,股票期权，五险一金
技术支持工程师（福州）,福州·鼓楼区·湖前,云宏信息,10-15K,1-3年大专,计算机软件,通讯补贴，定期体检，带薪年假，节日福利，员工旅游，五险一金，年终奖，全勤奖，股票期权
神外医生,福州·鼓楼区·西洪路,三博福能脑科医院,11-22K,经验不限硕士,医疗/护理/卫生,节日福利，餐补，带薪年假，年终奖，五险一金，定期体检
销售代表（新零售-福州）,福州·仓山区·金山浦上工业区,华润雪花啤酒,8-10K·13薪,1-3年本科,食品/饮料/烟酒,五险一金，年终奖，交通补助，补充医疗保险，通讯补贴，免费工装，绩效奖金，节日福利，带薪年假，定期体检，加班补助，生日福利，企业年金，餐补
软件工程师,福州,Rockchip,12-24K,在校/应届本科,智能硬件,定期体检，年终奖，节日福利，零食下午茶，带薪年假，补充医疗保险，五险一金
物理老师,福州·鼓楼区·五四路,百来思,6-10K,经验不限本科,培训机构,
跨境文案专员,福州·仓山区·金山,见苏家居,4-9K,经验不限本科,贸易/进出口,生日福利，团建聚餐，绩效奖金，带薪年假，员工旅游，保底工资，节日福利
隽荣招聘服务员,福州·仓山区·金山工业区福湾片,隽荣,4-5K,经验不限学历不限,其他服务业,年终奖，五险一金，零食下午茶，节日福利，员工旅游，带薪年假
广鑫钢绳索具招聘供应链专员,福州,广鑫钢绳索具,4-6K,1年以内学历不限,原材料及加工/模具,员工旅游，节日福利，年终奖，餐补，全勤奖，带薪年假，五险一金，定期体检
预算主管,福州·台江区·宁化,骐福建筑,8-12K,5-10年本科,工程施工,餐补，带薪年假，节日福利，年终奖，五险一金，补充医疗保险
福州市煜点招聘普工/操作工,福州·福清市·福清万达,福州市煜点,5-6K,经验不限学历不限,广播/影视,
美术老师,福州·马尾区·名城港湾,一家美术夏加儿教育,4-6K,经验不限本科,培训机构,住房补贴，节日福利，年终奖，通讯补贴，全勤奖，五险一金
匠铸招聘导购,福州·鼓楼区·鼓西,匠铸,5-8K,1-3年高中,珠宝/首饰,
人综专员（SSC）,福州·台江区·中亭街,朴朴,5-8K,1-3年本科,互联网,团建经费，股票期权，年终奖，定期体检，节日福利，带薪年假
短视频文案,福州·鼓楼区·黎明,嘴角向上,4-8K,1年以内本科,文化/体育/娱乐,五险一金，年终奖，定期体检，零食下午茶，带薪年假，员工旅游，节日福利，股票期权
